"Trade Name (Agent)",Sponsor,"Date of BT Designation Disclosure","Approval Date",Indication,Category,"FDA Status"
"Zynteglo (betibeglogene autotemcel (beti-cel; formerly LentiGlobin™))",BlueBird,2/02/2015,,Beta-thalassemia,"Rare Inherited Disorders","Designation Granted"
"Brensocatib (INS1007)","Insmed Incorporated",6/08/2020,,"Treatment of bronchiectasis and other inflammatory diseases and  of adult patients with non-cystic fibrosis bronchiectasis (NCFBE) for reducing exacerbation","Rare Inherited Disorders","Designation Granted"
"HSV Pritelivir (AIC316)","Anti-infective Cures GmbH",6/05/2020,,"Treatment of acyclovir-resistant mucocutaneous herpes simplex virus (HSV) infections in immunocompromised adults",Other,"Designation Granted"
"Neuromodulation therapy (NTX100)","Noctrix Health",6/02/2020,,"Treatment of adults with primary moderate-severe Restless Legs Syndrome (RLS) who are refractory to medications",Other,"Designation Granted"
"Psilocybin formulation (Comp 360)","Compass Pathways",10/23/2018,,"Treatment-resistant depression",Other,"Designation Granted"
"Olumiant (Baricitinib)","Eli Lilly and Company + Incyte Corporation",3/16/2020,6/13/2022,"Treatment of adult patients with severe alopecia areata.",Other,"FDA Approval"
"Esbriet (pirfenidone)","Hoffman-La Roche Inc.",3/03/2020,,"Patients with unclassifiable interstitial lung disease",Other,"Designation Granted"
Sotatercept,"Acceleron Pharma",4/08/2020,,"Patients with pulmonary arterial hypertension",Cardiovascular,"Designation Granted"
"ABECMA (idecabtagene vicleucel)","Bristol-Myers Squibb Company",11/15/2017,3/26/2021,"Adult patients with relapsed or refractory multiple myeloma",Cancer,"FDA Approval"
AXS-05,"Axsome Therapeutics, Inc.",3/15/2019,,"Patients with major depressive disorder that is resistant to current treatments",Other,"Designation Granted"
JNJ-6372,"Janssen Biotech, Inc.",3/10/2020,,"Patients with EGFR-positive metastatic non-small cell lung cancer who harbor exon 20 insertion mutations, and whose disease has progressed on or after platinum-based chemotherapy",Cancer,"Designation Granted"
APR-246,"Aprea Therapeutics",1/30/2020,,"Treatment of patients with myelodysplastic syndromes with a susceptible TP53 mutation",Cancer,"Designation Granted"
"Olorofim (F901318)","F2G The Rare Fungal Disease Company",11/13/2019,,"Treatment of invasive mold infections in patients w limited or no treatment options, including aspergillosis refractory or intolerant to currently available therapy, & infections due to Lomentospora prolificans, Scedosporium, and Scopulariopsis species",Other,"Designation Granted"
CD20xCD3,"F. Hoffmann-La Roche AG",7/14/2020,,"Treatment of adult patients with relapsed or refractory (R/R) follicular lymphoma who have received at least two prior systemic therapies",Cancer,"Designation Granted"
Padcev,"Astellas Pharma US, Inc.",2/20/2020,,"In combination with Keytruda for the treatment of patients with unresectable locally advanced or metastatic urothelial cancer who are unable to receive cisplatin-based chemotherapy in the first-line setting",Cancer,"Designation Granted"
ER-004,Esperare,7/06/2020,,"Investigational Prenatal Treatment ER-004 In X-Linked Hypohidrotic Ectodermal Dysplasia","Rare Inherited Disorders","Designation Granted"
TLX250-CDX,"Telix Pharmaceuticals",7/01/2020,,"Renal cancer imaging product",Cancer,"Designation Granted"
AXS-05,"Axsome Therapeutics",6/26/2020,,"Treatment of Alzheimer’s disease agitation, major depressive disorder, and other central nervous system (CNS) disorders",Other,"Designation Granted"
Brensocatib,"Insmed Incorporated",6/18/2020,,"Treatment for bronchiectasis","Rare Inherited Disorders","Designation Granted"
"Omidubicel (formerly known as NiCord®)","Gamida Cell (Emmes)",10/11/2016,,"Treatment opportunity for patients who need an allogeneic bone marrow transplant. Cellular therapy in Phase 3 development as a potential life-saving allogeneic hematopoietic stem cell (bone marrow) transplant solution",Cancer,"Designation Granted"
"Viaskin® Peanut","DBV Therapies",4/09/2015,,"Treatment for patients suffering from life threatening food allergies",Other,"Designation Granted"
NRX-101,NeuroRx,11/13/2018,,"Treatment of Severe Bipolar Depression with Acute Suicidal Ideation & Behavior (ASIB)",Other,"Designation Granted"
"ARCALYST (rilonacept)",Kiniksa,11/20/2019,3/18/2021,"Treatment of recurrent pericarditis",Cardiovascular,"FDA Approval"
"Palforzia (Arachis hypogaea)",Aimmune,6/18/2015,1/31/2020,"An oral immunotherapy indicated for the mitigation of allergic reactions, including anaphylaxis, that may occur with accidental exposure to peanut.",Other,"FDA Approval"
"Uplinza (inebilizumab-cdon)","Viela Bio",4/18/2019,6/11/2020,"Patients with neuromyelitis optica spectrum disorder (NMOSD)","Rare Inherited Disorders","FDA Approval"
"Tecentriq (atezolizumab)","Genentech Inc.",7/18/2018,5/29/2020,"In combination with bevacizumab, for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy",Cancer,"FDA Approval"
"Ayvakit (avapritinib)","Blueprint Medicines Corporation",6/01/2017,1/09/2020,"Patients with unresectable or metastatic GIST harboring the PDGFRα D842V mutation",Cancer,"FDA Approval"
"TEPEZZA (TEPROTUMUMABTRBW)","HORIZON THERAPEUTICS IRELAND DAC",2020,1/21/2020,"Treatment of thyroid eye disease",Other,"FDA Approval"
AXS-12,"Axsome Therapeutics",8/05/2020,,"Treatment of cataplexy in patients with narcolepsy.",Other,"Designation Rescinded"
Pevonedistat,"Takeda Pharmaceutical Company",7/30/2020,,"Treatment of patients with higher-risk myelodysplastic syndromes (HR-MDS)",Cancer,"Designation Granted"
"Bavencio (avelumab)","Merck Sharpe & Dohme Corp.",4/09/2020,7/01/2020,"Patients with locally advanced or metastatic urothelial carcinoma that has not progressed with first-line platinum-containing chemotherapy",Cancer,"FDA Approval"
"Tagrisso (osimertinib)",AstraZeneca,7/30/2020,12/18/2020,"Adjuvant treatment of patients with early-stage (IB, II and IIIA) epidermal growth factor receptor-mutated (EGFRm) non-small cell lung cancer (NSCLC) after complete tumor resection with curative intent.",Cancer,"FDA Approval"
MK-6482,"Merck Sharpe & Dohme Corp.",7/29/2020,,"Treatment of patients with von Hippel-Lindau (VHL) disease-associated renal cell carcinoma (RCC) with nonmetastatic RCC tumors less than three centimeters in size, unless immediate surgery is required.",Cancer,"Designation Granted"
"Mavacamten (MYK-461)",MyoKardia,7/23/2020,4/28/2022,"Treatment of symptomatic, obstructive hypertrophic cardiomyopathy (HCM).","Rare Inherited Disorders","FDA Approval"
"Rukobia (fostemsavir)","ViiV Healthcare",7/21/2015,7/02/2020,"Antiretroviral medication for adults living with HIV who have tried multiple HIV medications and whose HIV infection cannot be successfully treated with other therapies because of resistance, intolerance or safety considerations.","Infectious Disease","FDA Approval"
"Koselugo (Selumetinib)","AstraZeneca Plc and Merck & Co., Inc.",4/01/2019,4/10/2020,"Treatment of pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN)","Rare Inherited Disorders","FDA Approval"
"TUKYSA (tucatinib)","SEATTLE GENETICS INC",2019,4/17/2020,"In combination with trastuzumab and capecitabine, for the treatment of adult patients with advanced unresectable or metastatic HER2- positive breast cancer, including patients with brain metastases, who have received one or more prior antiHER2-based regim",Cancer,"FDA Approval"
"Enspryng (satralizumab-mwge)","Genentech, Inc.",12/20/2018,8/14/2020,"Subcutaneous treatment for adults living with anti-aquaporin-4 (AQP4) antibody positive neuromyelitis optica spectrum disorder (NMOSD).","Rare Inherited Disorders","FDA Approval"
Artesunate,"AMIVAS LLC",2020,5/26/2020,"Initial treatment of severe malaria in adult and pediatric patients",Other,"FDA Approval"
"Qinlock (Ripretinib)","DECIPHERA PHARMACEUTICALS LLC",2020,5/15/2020,"Treatment of adult patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib",Cancer,"FDA Approval"
